ID,Age,Gender,Marital Status,Education Field,Education Level,Miles from Home to Work,Department Name,Job Role Name,Job Level,Business Travel Frequency,Yearly Income,Absences per Year,Job Involvement,Performance Rating,Job Satisfaction,Environment Satisfaction,Work Life Balance Satisfaction,Last Salary Increase (%),Amount of Stock Option,Number of Training Sessions Last Year,Number of Other Companies,Total Active Years,Years at Current Company,Years Since Last Promotion,Years with Current Manager,Attrition
674,20,Male,Single,Life Sciences,Bachelor,1,Research & Development,Sales Representative,Entry Level,Travel_Rarely,47770,17,High,3,1.0,4.0,3.0,18,Low,3,1.0,2.0,2,0,2,No
675,25,Male,Single,Life Sciences,College,,Research & Development,Research Scientist,Entry Level,Travel_Rarely,36220,11,High,4,2.0,4.0,2.0,25,None,0,1.0,2.0,2,2,1,No
676,35,Male,Divorced,Life Sciences,Bachelor,9,Research & Development,Manager,Mid Level,Travel_Rarely,173990,2,Low,3,4.0,,2.0,12,None,3,6.0,7.0,2,2,2,Yes
677,53,Male,Single,Medical,Bachelor,,Research & Development,Research Scientist,Entry Level,Travel_Rarely,34230,4,High,3,1.0,1.0,2.0,15,Low,4,6.0,15.0,2,2,2,Yes
678,35,Female,Married,Life Sciences,College,3,Human Resources,Laboratory Technician,Entry Level,Travel_Rarely,63880,16,Medium,3,1.0,3.0,3.0,13,None,6,3.0,4.0,2,2,2,No
679,26,Female,Single,Life Sciences,Below College,21,Research & Development,Manufacturing Director,Entry Level,Non-Travel,135250,10,Medium,3,1.0,2.0,3.0,17,Low,4,8.0,7.0,2,2,2,Yes
680,35,Female,Single,Medical,Master,,Research & Development,Research Director,Mid Level,Travel_Frequently,61420,19,High,3,4.0,3.0,3.0,15,Low,2,2.0,10.0,2,2,2,No
681,20,Male,Single,Medical,Bachelor,6,Research & Development,Research Director,Executive,Travel_Rarely,83920,9,High,3,3.0,1.0,2.0,17,None,5,1.0,2.0,2,1,2,No
682,31,Male,Divorced,Medical,Master,,Research & Development,Research Scientist,Entry Level,Travel_Frequently,24370,6,Very High,3,3.0,2.0,3.0,14,Low,3,9.0,9.0,2,2,2,No
683,31,Male,,Life Sciences,Bachelor,1,Research & Development,Human Resources,Manager,Travel_Rarely,28670,1,High,4,2.0,3.0,3.0,24,None,5,0.0,3.0,2,2,2,No
684,25,Male,Divorced,Medical,College,7,Research & Development,Sales Executive,Executive,Travel_Rarely,41030,16,High,3,3.0,4.0,2.0,15,Low,2,6.0,7.0,2,0,2,No
685,46,Female,,Marketing,Master,3,Sales,Sales Representative,Entry Level,Travel_Rarely,42720,4,Very High,3,4.0,3.0,3.0,13,None,3,7.0,24.0,2,2,2,No
686,49,Male,Divorced,Medical,Master,2,Research & Development,Laboratory Technician,Entry Level,Travel_Rarely,42270,3,Medium,3,1.0,4.0,2.0,18,None,3,4.0,17.0,2,2,2,No
687,25,Female,Married,Life Sciences,College,5,Research & Development,Laboratory Technician,Senior Level,Travel_Rarely,26600,13,High,3,1.0,1.0,3.0,13,None,3,5.0,6.0,2,0,2,Yes
688,31,Female,Divorced,Life Sciences,College,,Sales,Manufacturing Director,Senior Level,Travel_Rarely,182130,13,Very High,4,3.0,1.0,2.0,21,Medium,3,8.0,4.0,2,2,2,No
689,30,Male,Married,Other,Master,25,Sales,Healthcare Representative,Entry Level,Non-Travel,53800,12,High,4,3.0,4.0,4.0,21,Low,0,7.0,4.0,2,2,2,No
690,48,Male,Married,Technical Degree,Bachelor,16,Research & Development,Sales Executive,Entry Level,Travel_Rarely,97240,19,Very High,3,2.0,2.0,3.0,13,None,2,3.0,12.0,2,2,2,No
691,27,Male,Married,Other,Master,20,Research & Development,Manufacturing Director,Mid Level,Travel_Rarely,34850,16,High,3,2.0,3.0,3.0,17,Medium,2,9.0,4.0,2,2,2,No
692,25,Male,Married,Technical Degree,Bachelor,26,Research & Development,Laboratory Technician,Entry Level,Travel_Rarely,88530,20,High,4,4.0,4.0,,22,Low,3,1.0,2.0,2,2,1,No
693,48,Male,Single,Medical,Master,2,Human Resources,Sales Executive,Mid Level,Travel_Rarely,45540,6,High,3,3.0,1.0,3.0,11,Medium,3,2.0,19.0,2,2,2,No
694,25,Female,Married,Medical,Below College,29,Sales,Research Scientist,Senior Level,Travel_Rarely,30690,8,Medium,3,3.0,1.0,3.0,14,Low,3,2.0,6.0,2,2,2,No
695,51,Female,Married,Life Sciences,Master,,Research & Development,Manager,Entry Level,Travel_Rarely,40330,16,High,3,3.0,1.0,3.0,14,None,2,2.0,15.0,2,2,2,No
696,34,Female,Single,Life Sciences,College,10,Sales,Sales Executive,Executive,Travel_Rarely,77790,21,High,3,4.0,4.0,3.0,12,Low,2,5.0,6.0,2,2,2,No
697,21,Female,Single,Life Sciences,Below College,3,Research & Development,Laboratory Technician,Entry Level,Travel_Rarely,170990,4,High,3,4.0,3.0,,14,Low,2,1.0,3.0,2,2,2,No
698,35,Female,Single,Medical,Master,6,Research & Development,Research Director,Mid Level,Travel_Frequently,61420,12,High,3,4.0,3.0,,15,Low,2,2.0,10.0,2,2,2,No
699,28,Male,Single,Technical Degree,Bachelor,25,Research & Development,Research Director,Entry Level,Travel_Rarely,187890,4,High,3,3.0,4.0,3.0,16,Low,4,3.0,6.0,2,2,2,Yes
700,48,Male,Divorced,Technical Degree,Bachelor,24,Research & Development,Research Scientist,Mid Level,Travel_Rarely,16010,14,High,3,1.0,3.0,3.0,12,None,3,4.0,15.0,2,2,2,No
701,58,Female,Married,Technical Degree,Master,10,Research & Development,Sales Representative,Entry Level,Travel_Frequently,29360,11,High,3,3.0,1.0,3.0,13,Low,3,2.0,23.0,2,2,2,No
702,20,Male,Single,Medical,Bachelor,6,Research & Development,Research Director,Executive,Travel_Rarely,83920,15,High,3,3.0,1.0,2.0,17,None,5,1.0,2.0,2,1,2,No
703,22,Male,Married,Other,Doctor,16,Research & Development,Research Scientist,Entry Level,Travel_Rarely,29910,8,Medium,3,2.0,1.0,3.0,19,Medium,3,1.0,2.0,2,1,2,No
704,20,Male,Single,Marketing,Bachelor,,Sales,Sales Executive,Senior Level,Travel_Frequently,34640,6,Medium,4,4.0,4.0,3.0,20,None,3,1.0,2.0,2,0,2,Yes
705,28,Female,Single,Medical,Master,19,Research & Development,Sales Executive,Mid Level,Travel_Rarely,32040,19,Medium,3,3.0,3.0,2.0,16,Low,4,6.0,5.0,2,2,1,Yes
706,29,Male,Divorced,Medical,College,8,Research & Development,Manager,Entry Level,Travel_Rarely,28530,3,Medium,3,1.0,1.0,,14,Low,5,4.0,4.0,2,2,0,Yes
707,38,Male,,Medical,Master,9,Sales,Research Scientist,Mid Level,Travel_Frequently,26950,9,Low,3,3.0,3.0,3.0,14,Low,4,3.0,8.0,2,2,2,No
708,46,Female,Divorced,Medical,Below College,2,Research & Development,Research Scientist,Senior Level,Travel_Rarely,49410,15,Medium,3,4.0,4.0,3.0,13,Medium,2,9.0,23.0,2,2,2,No
709,31,Male,Married,Marketing,Master,,Sales,Sales Executive,Mid Level,Travel_Rarely,132250,10,High,4,1.0,1.0,3.0,21,Low,2,3.0,9.0,2,1,0,No
710,39,Female,Single,Technical Degree,Below College,,Sales,Laboratory Technician,Mid Level,Travel_Rarely,51750,14,Very High,3,2.0,2.0,3.0,17,Low,2,4.0,9.0,2,2,2,No
711,44,Male,Married,Medical,College,1,Sales,Manager,Manager,Travel_Rarely,187110,8,High,3,1.0,2.0,3.0,12,Low,0,2.0,10.0,2,2,2,No
712,36,Male,Divorced,Medical,Bachelor,1,Research & Development,Manufacturing Director,Mid Level,Travel_Rarely,33760,2,High,4,1.0,2.0,3.0,20,None,3,5.0,16.0,2,2,2,Yes
713,42,Female,Married,Medical,Master,,Research & Development,Research Scientist,Entry Level,Travel_Frequently,29770,21,Medium,3,3.0,2.0,3.0,15,High,3,4.0,8.0,2,2,0,No
714,48,Male,Single,Medical,Master,2,Human Resources,Sales Executive,Mid Level,Travel_Rarely,45540,6,High,3,3.0,1.0,3.0,11,Medium,3,2.0,19.0,2,2,2,No
715,50,Male,Single,Life Sciences,Master,,Research & Development,Sales Executive,Mid Level,Travel_Frequently,53770,20,Very High,3,4.0,3.0,3.0,14,Low,3,4.0,16.0,2,2,1,No
716,35,Male,Married,Life Sciences,Bachelor,4,Research & Development,Healthcare Representative,Mid Level,Travel_Rarely,78980,13,Medium,3,3.0,4.0,3.0,15,None,2,7.0,5.0,2,2,2,No
717,25,Female,Married,Medical,Doctor,20,Sales,Laboratory Technician,Mid Level,Travel_Rarely,85000,22,High,3,2.0,3.0,3.0,12,None,2,4.0,6.0,2,1,2,No
718,34,Male,Divorced,Technical Degree,Bachelor,,Research & Development,Laboratory Technician,Entry Level,Travel_Rarely,107930,17,Medium,3,4.0,2.0,3.0,11,High,1,0.0,3.0,2,1,2,No
719,29,Male,Divorced,Medical,College,,Research & Development,Manager,Entry Level,Travel_Rarely,28530,6,Medium,3,1.0,1.0,3.0,14,Low,5,4.0,4.0,2,2,0,Yes
720,56,Male,Divorced,Life Sciences,Bachelor,4,Research & Development,Manager,Manager,Travel_Rarely,25870,16,Medium,3,1.0,3.0,3.0,12,None,2,4.0,19.0,2,2,2,No
721,53,Female,Single,Life Sciences,Bachelor,,Research & Development,Laboratory Technician,Senior Level,Travel_Rarely,48090,22,High,3,4.0,4.0,3.0,18,None,2,2.0,19.0,2,2,2,No
722,44,Male,Single,Marketing,Master,29,Sales,Sales Executive,Mid Level,Travel_Rarely,19510,21,Very High,4,3.0,1.0,4.0,22,High,4,4.0,10.0,2,0,2,No
723,59,Male,Married,Technical Degree,Master,4,Research & Development,Healthcare Representative,Entry Level,Travel_Rarely,27600,19,Very High,3,3.0,2.0,2.0,11,None,3,8.0,7.0,2,2,2,No
724,27,Male,Divorced,Medical,Bachelor,3,Research & Development,Healthcare Representative,Entry Level,Non-Travel,27830,12,Very High,3,2.0,4.0,1.0,16,Low,2,6.0,6.0,2,2,2,No
725,32,Male,Married,Medical,College,,Research & Development,Sales Executive,Senior Level,Travel_Rarely,136950,12,High,3,2.0,2.0,3.0,13,None,3,0.0,3.0,2,2,2,No
726,31,Female,Married,Technical Degree,Bachelor,10,Sales,Research Director,Entry Level,Travel_Frequently,53040,18,Very High,3,3.0,3.0,2.0,17,None,3,1.0,2.0,2,2,2,Yes
727,39,Male,Divorced,Medical,Below College,2,Research & Development,Healthcare Representative,Mid Level,Travel_Frequently,51550,10,Medium,3,4.0,3.0,3.0,18,Low,3,2.0,7.0,2,2,2,No
728,20,Male,Single,Marketing,Bachelor,8,Sales,Sales Executive,Senior Level,Travel_Frequently,34640,17,Medium,4,4.0,4.0,3.0,20,None,3,1.0,2.0,2,0,2,Yes
729,50,Female,Married,Life Sciences,Master,25,Research & Development,Healthcare Representative,Mid Level,Travel_Frequently,32020,16,High,4,1.0,4.0,,24,Low,2,2.0,32.0,2,2,2,No
730,59,Male,Married,Technical Degree,Master,4,Research & Development,Healthcare Representative,Entry Level,Travel_Rarely,27600,14,Very High,3,3.0,,2.0,11,None,3,8.0,7.0,2,2,2,No
731,47,Female,Single,Life Sciences,College,2,Sales,Manager,Executive,Travel_Rarely,31960,23,Medium,3,3.0,2.0,3.0,14,Low,3,4.0,7.0,2,2,0,No
732,24,Male,Married,Human Resources,Doctor,2,Human Resources,Sales Executive,Senior Level,Travel_Rarely,47680,7,Medium,3,4.0,2.0,2.0,11,Low,2,2.0,6.0,2,2,0,Yes
733,38,Female,Divorced,Marketing,Bachelor,2,Sales,Manager,Entry Level,Travel_Rarely,44480,13,Medium,3,,4.0,3.0,12,None,3,9.0,10.0,2,1,2,No
734,58,Male,Divorced,Other,Bachelor,,Research & Development,Laboratory Technician,Mid Level,Travel_Rarely,21870,22,Low,3,3.0,1.0,3.0,18,Low,1,1.0,2.0,2,2,2,No
735,30,Male,Married,Technical Degree,College,1,Sales,Laboratory Technician,Entry Level,Travel_Rarely,25060,10,High,4,3.0,4.0,2.0,22,None,3,8.0,4.0,2,2,2,No
736,24,Female,Single,Life Sciences,College,17,Research & Development,Healthcare Representative,Entry Level,Travel_Rarely,25010,8,Low,3,3.0,1.0,,12,None,3,9.0,4.0,2,2,0,Yes
737,50,Female,Married,Life Sciences,Master,,Research & Development,Healthcare Representative,Mid Level,Travel_Frequently,32020,10,High,4,1.0,4.0,,24,Low,2,2.0,32.0,2,2,2,No
738,60,Female,Single,Life Sciences,College,,Research & Development,Laboratory Technician,Executive,Travel_Rarely,53290,19,Very High,4,1.0,1.0,3.0,20,None,3,8.0,10.0,2,2,2,No
739,20,Male,Single,Medical,Bachelor,11,Research & Development,Sales Executive,Mid Level,Travel_Rarely,93960,16,Low,3,3.0,3.0,,12,None,6,1.0,2.0,2,0,2,Yes
740,34,Male,,Technical Degree,Bachelor,28,Research & Development,Laboratory Technician,Entry Level,Travel_Rarely,107930,18,Medium,3,4.0,2.0,3.0,11,High,1,0.0,3.0,2,1,2,No
741,22,Male,Married,Technical Degree,Master,29,Sales,Sales Executive,Entry Level,Travel_Rarely,46630,18,High,3,4.0,3.0,3.0,13,Low,1,0.0,3.0,2,2,1,No
742,29,Male,Divorced,Medical,College,8,Research & Development,Manager,Entry Level,Travel_Rarely,28530,11,Medium,3,1.0,1.0,3.0,14,Low,5,4.0,4.0,2,2,0,Yes
743,33,Male,,Medical,Below College,,Research & Development,Healthcare Representative,Entry Level,Travel_Rarely,76420,6,Medium,4,1.0,1.0,1.0,20,Low,2,2.0,8.0,2,2,2,No
744,31,Female,Married,Technical Degree,Bachelor,10,Sales,Research Director,Entry Level,Travel_Frequently,53040,8,Very High,3,3.0,3.0,2.0,17,None,3,1.0,2.0,2,2,2,Yes
745,48,Female,Married,Marketing,Master,,Sales,Manager,Senior Level,Travel_Frequently,22700,21,High,3,4.0,3.0,3.0,14,High,2,2.0,23.0,2,2,2,No
746,56,Male,,Life Sciences,Bachelor,,Research & Development,Manager,Manager,Travel_Rarely,25870,5,Medium,3,1.0,3.0,,12,None,2,4.0,19.0,2,2,2,No
747,34,Male,Married,Life Sciences,College,2,Research & Development,Research Scientist,Mid Level,Travel_Rarely,65860,8,High,3,4.0,2.0,2.0,18,Low,3,9.0,9.0,2,2,1,No
748,60,Female,,Life Sciences,College,,Research & Development,Laboratory Technician,Executive,Travel_Rarely,53290,18,Very High,4,1.0,1.0,3.0,20,None,3,8.0,10.0,2,2,2,No
749,23,Female,Married,Life Sciences,College,7,Research & Development,Manager,Senior Level,Travel_Rarely,105520,6,High,3,3.0,4.0,3.0,11,None,2,2.0,4.0,2,2,2,No
750,39,Female,Single,Technical Degree,Below College,6,Sales,Laboratory Technician,Mid Level,Travel_Rarely,51750,22,Very High,3,2.0,2.0,3.0,17,Low,2,4.0,9.0,2,2,2,No
751,46,Male,Single,Life Sciences,College,9,Research & Development,Manufacturing Director,Mid Level,Non-Travel,57310,14,High,3,2.0,2.0,3.0,17,None,2,8.0,6.0,2,2,2,No
752,36,Male,,Medical,Bachelor,1,Research & Development,Manufacturing Director,Mid Level,Travel_Rarely,33760,2,High,4,1.0,2.0,3.0,20,None,3,5.0,16.0,2,2,2,Yes
753,38,Male,Married,Technical Degree,Bachelor,13,Research & Development,Manufacturing Director,Entry Level,Travel_Frequently,32100,16,Medium,3,3.0,3.0,2.0,17,Medium,5,0.0,3.0,2,0,2,No
754,24,Female,,Life Sciences,Bachelor,22,Sales,Healthcare Representative,Entry Level,Travel_Frequently,29350,17,Medium,3,4.0,4.0,3.0,14,Medium,5,0.0,3.0,2,2,1,No
755,42,Female,Single,Life Sciences,Master,13,Sales,Laboratory Technician,Mid Level,Travel_Frequently,22880,19,Medium,3,4.0,,3.0,16,Low,4,5.0,8.0,2,2,2,No
756,46,Male,Single,Life Sciences,College,9,Research & Development,Manufacturing Director,Mid Level,Non-Travel,57310,6,High,3,2.0,2.0,3.0,17,None,2,8.0,6.0,2,2,2,No
757,20,Male,Single,Medical,Master,18,Research & Development,Human Resources,Entry Level,Travel_Rarely,84120,11,Medium,3,4.0,3.0,3.0,13,None,2,1.0,2.0,2,2,2,No
758,40,Male,,Life Sciences,Master,10,Sales,Research Scientist,Entry Level,Travel_Rarely,93620,16,High,3,3.0,3.0,3.0,11,Low,6,2.0,8.0,2,2,2,No
759,35,Male,Married,Life Sciences,Bachelor,4,Research & Development,Healthcare Representative,Mid Level,Travel_Rarely,78980,11,Medium,3,3.0,4.0,3.0,15,None,2,7.0,5.0,2,2,2,No
760,44,Female,Divorced,Technical Degree,Bachelor,9,Research & Development,Healthcare Representative,Senior Level,Travel_Rarely,68610,10,Medium,3,4.0,3.0,3.0,12,None,2,4.0,8.0,2,2,2,No
761,60,Female,Single,Life Sciences,College,8,Research & Development,Laboratory Technician,Executive,Travel_Rarely,53290,12,Very High,4,1.0,1.0,3.0,20,None,3,8.0,10.0,2,2,2,No
762,50,Male,Married,Life Sciences,Bachelor,,Sales,Research Scientist,Mid Level,Travel_Rarely,23220,22,Very High,4,2.0,4.0,3.0,25,Low,0,7.0,4.0,2,2,2,No
763,28,Female,Married,Life Sciences,Bachelor,,Research & Development,Sales Representative,Mid Level,Travel_Frequently,21270,17,High,3,4.0,4.0,3.0,14,None,3,1.0,2.0,2,2,2,No
764,35,Male,,Marketing,Master,2,Sales,Manufacturing Director,Senior Level,Travel_Rarely,104660,16,High,3,4.0,4.0,3.0,13,None,1,1.0,2.0,2,2,2,No
765,46,Female,Single,Life Sciences,Bachelor,,Sales,Research Scientist,Entry Level,Travel_Rarely,34200,19,Low,3,1.0,2.0,2.0,13,Medium,3,3.0,22.0,2,2,1,No
766,53,Male,Married,Life Sciences,Bachelor,9,Research & Development,Sales Representative,Entry Level,Travel_Rarely,20890,23,Medium,3,4.0,,3.0,16,None,2,5.0,28.0,2,2,2,No
767,25,Male,Married,Technical Degree,Bachelor,26,Research & Development,Laboratory Technician,Entry Level,Travel_Rarely,88530,8,High,4,4.0,4.0,3.0,22,Low,3,1.0,2.0,2,2,1,No
768,23,Female,Married,Life Sciences,College,7,Research & Development,Manager,Senior Level,Travel_Rarely,105520,9,High,3,3.0,4.0,3.0,11,None,2,2.0,4.0,2,2,2,No
769,31,Female,Married,Medical,Below College,15,Research & Development,Sales Executive,Mid Level,Travel_Rarely,40660,4,Medium,4,3.0,2.0,3.0,22,None,2,3.0,4.0,2,2,2,Yes
770,39,Male,,Technical Degree,Bachelor,,Research & Development,Healthcare Representative,Senior Level,Travel_Rarely,102520,9,High,3,4.0,,3.0,13,Low,3,8.0,7.0,2,2,2,No
771,29,Male,Single,Marketing,Bachelor,4,Sales,Research Scientist,Executive,Travel_Rarely,36910,7,High,3,2.0,2.0,3.0,13,None,3,1.0,2.0,2,2,2,Yes
772,32,Male,Single,Medical,Below College,,Research & Development,Laboratory Technician,Mid Level,Travel_Rarely,27410,7,High,3,2.0,3.0,2.0,11,None,3,7.0,7.0,2,2,2,Yes
773,33,Male,Married,Medical,Below College,9,Research & Development,Healthcare Representative,Entry Level,Travel_Rarely,76420,20,Medium,4,1.0,1.0,1.0,20,Low,2,2.0,8.0,2,2,2,No
774,31,Male,Divorced,Medical,Master,9,Research & Development,Sales Executive,Entry Level,Travel_Frequently,46840,7,High,3,2.0,4.0,2.0,16,Low,4,1.0,2.0,2,2,2,No
775,33,Female,Married,Life Sciences,Master,2,Research & Development,Sales Executive,Entry Level,Travel_Rarely,27660,21,High,3,4.0,3.0,2.0,12,Low,2,1.0,2.0,2,0,2,No
776,34,Male,,Technical Degree,Bachelor,28,Research & Development,Laboratory Technician,Entry Level,Travel_Rarely,107930,21,Medium,3,4.0,2.0,3.0,11,High,1,0.0,3.0,2,1,2,No
777,21,Female,Single,Life Sciences,Master,1,Research & Development,Research Scientist,Entry Level,Travel_Rarely,26100,13,Medium,3,2.0,4.0,4.0,11,Low,3,1.0,2.0,2,2,2,No
778,23,Female,Single,Life Sciences,Below College,23,Research & Development,Research Scientist,Mid Level,Travel_Rarely,173280,4,Low,3,3.0,1.0,3.0,17,Low,2,1.0,2.0,2,0,2,No
779,21,Male,Single,Medical,Doctor,10,Sales,Research Scientist,Senior Level,Travel_Rarely,66870,17,High,3,1.0,3.0,3.0,19,High,0,1.0,2.0,2,1,2,No
780,35,Male,Married,Marketing,Master,2,Sales,Manufacturing Director,Senior Level,Travel_Rarely,104660,7,High,3,4.0,4.0,3.0,13,None,1,1.0,2.0,2,2,2,No
781,48,Male,Divorced,Technical Degree,Bachelor,24,Research & Development,Research Scientist,Mid Level,Travel_Rarely,16010,10,High,3,1.0,3.0,,12,None,3,4.0,15.0,2,2,2,No
782,21,Female,,Life Sciences,Master,,Research & Development,Research Scientist,Entry Level,Travel_Rarely,26100,18,Medium,3,2.0,4.0,,11,Low,3,1.0,2.0,2,2,2,No
783,29,Male,Married,Life Sciences,Master,19,Research & Development,Research Scientist,Senior Level,Travel_Rarely,17900,12,Medium,3,2.0,3.0,4.0,16,Low,4,5.0,6.0,2,1,1,Yes
784,20,Male,Single,Life Sciences,Bachelor,1,Research & Development,Sales Representative,Entry Level,Travel_Rarely,47770,6,High,3,1.0,4.0,3.0,18,Low,3,1.0,2.0,2,0,2,No
785,31,Male,,Marketing,Master,7,Sales,Sales Executive,Mid Level,Travel_Rarely,132250,9,High,4,1.0,1.0,3.0,21,Low,2,3.0,9.0,2,1,0,No
786,33,Male,Single,Technical Degree,College,9,Sales,Sales Representative,Executive,Non-Travel,12000,15,High,3,4.0,2.0,2.0,11,Low,3,0.0,3.0,2,2,2,No
787,46,Female,,Marketing,Master,3,Sales,Sales Representative,Entry Level,Travel_Rarely,42720,14,Very High,3,4.0,3.0,3.0,13,None,3,7.0,24.0,2,2,2,No
788,23,Female,Married,Life Sciences,College,7,Research & Development,Manager,Senior Level,Travel_Rarely,105520,22,High,3,3.0,4.0,3.0,11,None,2,2.0,4.0,2,2,2,No
789,31,Male,Married,Marketing,Master,7,Sales,Sales Executive,Mid Level,Travel_Rarely,132250,20,High,4,1.0,1.0,3.0,21,Low,2,3.0,9.0,2,1,0,No
790,42,Female,Divorced,Life Sciences,Below College,10,Research & Development,Sales Executive,Entry Level,Travel_Frequently,50100,15,High,4,,3.0,3.0,21,High,3,6.0,7.0,2,2,2,Yes
791,39,Female,Married,Life Sciences,Master,10,Research & Development,Human Resources,Manager,Travel_Rarely,66960,15,High,3,1.0,4.0,1.0,11,None,3,7.0,8.0,2,2,2,Yes
792,58,Female,Married,Technical Degree,Master,10,Research & Development,Sales Representative,Entry Level,Travel_Frequently,29360,9,High,3,3.0,1.0,3.0,13,Low,3,2.0,23.0,2,2,2,No
793,33,Male,Single,Life Sciences,College,8,Research & Development,Manufacturing Director,Manager,Travel_Rarely,29040,3,High,3,2.0,1.0,3.0,13,None,2,4.0,5.0,2,2,2,Yes
794,52,Female,Single,Medical,College,,Research & Development,Manager,Manager,Travel_Rarely,83460,7,High,3,4.0,3.0,2.0,14,None,5,7.0,6.0,2,2,2,No
795,46,Male,Married,Medical,Below College,4,Research & Development,Human Resources,Executive,Travel_Frequently,29110,16,High,3,3.0,1.0,2.0,13,None,3,5.0,28.0,2,1,2,No
796,25,Male,Divorced,Medical,College,,Research & Development,Sales Executive,Executive,Travel_Rarely,41030,19,High,3,3.0,4.0,2.0,15,Low,2,6.0,7.0,2,0,2,No
797,26,Male,Divorced,Life Sciences,College,,Research & Development,Manufacturing Director,Entry Level,Travel_Frequently,28350,17,High,3,,,3.0,11,Low,2,3.0,5.0,2,2,0,No
798,25,Female,,Life Sciences,College,5,Research & Development,Laboratory Technician,Senior Level,Travel_Rarely,26600,12,High,3,1.0,,3.0,13,None,3,5.0,6.0,2,0,2,Yes
799,35,Male,Divorced,Life Sciences,Bachelor,9,Research & Development,Manager,Mid Level,Travel_Rarely,173990,13,Low,3,4.0,,2.0,12,None,3,6.0,7.0,2,2,2,Yes
800,20,Male,Single,Medical,Bachelor,6,Research & Development,Research Director,Executive,Travel_Rarely,83920,17,High,3,3.0,1.0,2.0,17,None,5,1.0,2.0,2,1,2,No
801,30,Male,Married,Medical,Bachelor,,Research & Development,Laboratory Technician,Entry Level,Travel_Rarely,25230,10,High,3,3.0,4.0,3.0,13,Low,2,3.0,7.0,2,0,2,No
802,29,Male,Single,Marketing,Bachelor,4,Sales,Research Scientist,Executive,Travel_Rarely,36910,20,High,3,2.0,,3.0,13,None,3,1.0,2.0,2,2,2,Yes
803,25,Female,,Medical,Below College,29,Sales,Research Scientist,Senior Level,Travel_Rarely,30690,13,Medium,3,3.0,1.0,3.0,14,Low,3,2.0,6.0,2,2,2,No
804,53,Female,Single,Life Sciences,Bachelor,,Research & Development,Laboratory Technician,Senior Level,Travel_Rarely,48090,19,High,3,4.0,,3.0,18,None,2,2.0,19.0,2,2,2,No
805,35,Female,Married,Life Sciences,College,,Human Resources,Laboratory Technician,Entry Level,Travel_Rarely,63880,18,Medium,3,1.0,3.0,3.0,13,None,6,3.0,4.0,2,2,2,No
806,25,Female,Married,Medical,Doctor,20,Sales,Laboratory Technician,Mid Level,Travel_Rarely,85000,13,High,3,2.0,3.0,3.0,12,None,2,4.0,6.0,2,1,2,No
807,20,Female,Single,Medical,Master,18,Research & Development,Sales Executive,Mid Level,Travel_Rarely,37430,14,High,3,3.0,3.0,3.0,13,Low,2,1.0,2.0,2,2,2,No
808,38,Male,,Technical Degree,Bachelor,13,Research & Development,Manufacturing Director,Entry Level,Travel_Frequently,32100,18,Medium,3,3.0,3.0,2.0,17,Medium,5,0.0,3.0,2,0,2,No
809,50,Male,Single,Life Sciences,Master,19,Research & Development,Sales Executive,Mid Level,Travel_Frequently,53770,15,Very High,3,4.0,3.0,3.0,14,Low,3,4.0,16.0,2,2,1,No
810,21,Female,,Life Sciences,Master,1,Research & Development,Research Scientist,Entry Level,Travel_Rarely,26100,2,Medium,3,2.0,4.0,4.0,11,Low,3,1.0,2.0,2,2,2,No
811,38,Male,,Life Sciences,Master,4,Sales,Manufacturing Director,Entry Level,Travel_Rarely,70820,10,Very High,3,4.0,,3.0,14,None,3,1.0,2.0,2,2,1,No
812,21,Male,Single,Medical,Doctor,10,Sales,Research Scientist,Senior Level,Travel_Rarely,66870,10,High,3,1.0,3.0,3.0,19,High,0,1.0,2.0,2,1,2,No
813,31,Male,Married,Life Sciences,Master,7,Research & Development,Laboratory Technician,Entry Level,Travel_Frequently,65000,6,High,4,4.0,2.0,1.0,23,Low,5,6.0,7.0,2,2,2,Yes
814,22,Male,Married,Medical,Bachelor,3,Research & Development,Laboratory Technician,Entry Level,Travel_Rarely,132690,6,High,4,4.0,3.0,3.0,25,Low,2,1.0,2.0,2,2,2,No
815,22,Male,Married,Medical,Bachelor,,Research & Development,Laboratory Technician,Entry Level,Travel_Rarely,132690,19,High,4,4.0,3.0,3.0,25,Low,2,1.0,2.0,2,2,2,No
816,39,Female,,Life Sciences,Master,10,Research & Development,Human Resources,Manager,Travel_Rarely,66960,8,High,3,1.0,4.0,1.0,11,None,3,7.0,8.0,2,2,2,Yes
817,34,Male,Married,Life Sciences,College,2,Research & Development,Research Scientist,Mid Level,Travel_Rarely,65860,21,High,3,,2.0,2.0,18,Low,3,9.0,9.0,2,2,1,No
818,40,Male,Single,Life Sciences,Master,10,Sales,Research Scientist,Entry Level,Travel_Rarely,93620,17,High,3,3.0,3.0,3.0,11,Low,6,2.0,8.0,2,2,2,No
819,22,Female,Married,Medical,College,2,Research & Development,Laboratory Technician,Mid Level,Travel_Rarely,195450,11,Medium,3,3.0,1.0,3.0,14,None,3,0.0,3.0,2,2,2,No
820,47,Female,,Life Sciences,College,,Sales,Manager,Executive,Travel_Rarely,31960,15,Medium,3,3.0,2.0,3.0,14,Low,3,4.0,7.0,2,2,0,No
821,56,Male,Divorced,Life Sciences,Bachelor,4,Research & Development,Manager,Manager,Travel_Rarely,25870,7,Medium,3,1.0,3.0,3.0,12,None,2,4.0,19.0,2,2,2,No
